file,hunks,already,portable,partial,manual,noise,status,added,removed
drivers/input/keyboard/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,12,0
drivers/iommu/iommu-traces.c,1,0,1,0,0,0,FULLY_PORTABLE,4,0
drivers/iommu/omap-iommu-debug.c,1,0,1,0,0,0,FULLY_PORTABLE,0,3
drivers/irqchip/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/mailbox/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,2,0
drivers/md/dm-linear.c,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/md/dm-verity.h,1,0,1,0,0,0,FULLY_PORTABLE,2,0
drivers/media/platform/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,2,1
drivers/media/v4l2-core/v4l2-flash-led-class.c,1,0,1,0,0,0,FULLY_PORTABLE,2,0
drivers/memstick/core/mspro_block.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/mmc/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/mmc/core/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,59,0
drivers/mmc/core/block.h,1,0,1,0,0,0,FULLY_PORTABLE,40,0
drivers/mmc/core/debugfs.c,1,0,1,0,0,0,FULLY_PORTABLE,6,0
drivers/mmc/core/sd.h,1,0,1,0,0,0,FULLY_PORTABLE,3,0
drivers/mtd/mtd_blkdevs.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/net/dsa/mv88e6xxx/phy.c,1,0,1,0,0,0,FULLY_PORTABLE,3,0
drivers/net/ethernet/ibm/ibmvnic.c,1,0,1,0,0,0,FULLY_PORTABLE,0,5
drivers/net/ethernet/stmicro/stmmac/dwxgmac2_descs.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/net/ethernet/stmicro/stmmac/hwif.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/net/ethernet/stmicro/stmmac/ring_mode.c,1,0,1,0,0,0,FULLY_PORTABLE,2,3
drivers/net/usb/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/net/usb/cdc_ether.c,1,0,1,0,0,0,FULLY_PORTABLE,4,2
drivers/nfc/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,7,0
drivers/opp/of.c,1,0,1,0,0,0,FULLY_PORTABLE,60,0
drivers/pci/access.c,1,0,1,0,0,0,FULLY_PORTABLE,3,6
drivers/pci/search.c,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/power/reset/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/pwm/pwm-sti.c,1,0,1,0,0,0,FULLY_PORTABLE,3,2
drivers/s390/block/dcssblk.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/scsi/scsi_scan.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
